id,batter,runs,balls,strike_rate
1,Abdul Basith,1,1,100.0
2,Abdul Samad,180,131,137.40458015267177
3,Abhinav Manohar,118,86,137.2093023255814
4,Abhishek Sharma,238,166,143.3734939759036
5,Abishek Porel,34,31,109.6774193548387
6,Adam Zampa,11,17,64.70588235294117
7,Adil Rashid,24,17,141.1764705882353
8,Aiden Markram,251,200,125.49999999999999
9,Ajinkya Rahane,334,191,174.86910994764398
10,Akash Deep,17,8,212.5
11,Akeal Hosein,17,11,154.54545454545453
12,Alzarri Joseph,8,12,66.66666666666666
13,Aman Hakim Khan,117,104,112.5
14,Ambati Rayudu,160,115,139.1304347826087
15,Amit Mishra,19,30,63.33333333333333
16,Andre Russell,234,162,144.44444444444443
17,Anmolpreet Singh,106,83,127.71084337349396
18,Anrich Nortje,38,29,131.0344827586207
19,Anuj Rawat,95,72,131.94444444444443
20,Anukul Roy,23,19,121.05263157894737
21,Arjun Tendulkar,13,9,144.44444444444443
22,Arshad Khan,18,15,120.0
23,Arshdeep Singh,2,2,100.0
24,Atharva Taide,177,126,140.47619047619045
25,Avesh Khan,1,1,100.0
26,Axar Patel,298,210,141.9047619047619
27,Ayush Badoni,256,184,139.1304347826087
28,Ben S,16,15,106.66666666666667
29,Bhanuka Rajapaksa,76,64,118.75
30,Bhuvneshwar Kumar,49,49,100.0
31,Cameron Green,447,272,164.33823529411765
32,Chetan Sakariya,4,6,66.66666666666666
33,Chris Jordan,11,13,84.61538461538461
34,Darshan Nalkande,0,1,0.0
35,Dasun Shanaka,26,26,100.0
36,David Miller,273,182,150.0
37,David Warner,526,401,131.1720698254364
38,David Wiese,22,11,200.0
39,David Willey,36,32,112.5
40,Deepak Chahar,1,2,50.0
41,Deepak Hooda,92,93,98.9247311827957
42,Devdutt Padikkal,254,196,129.59183673469389
43,Devon Conway,684,481,142.20374220374222
44,Dhruv Jurel,159,93,170.96774193548387
45,Dinesh Karthik,143,106,134.9056603773585
46,Faf du Plessis,735,475,154.73684210526315
47,Fazalhaq Farooqi,1,5,20.0
48,Glenn Maxwell,417,225,185.33333333333331
49,Glenn Phillips,39,22,177.27272727272728
50,Hardik Pandya,330,242,136.36363636363635
51,Harpreet Brar,53,42,126.19047619047619
52,Harpreet Singh,80,59,135.59322033898303
53,Harry Brook,202,159,127.0440251572327
54,Harshal Patel,7,6,116.66666666666667
55,Harshit Rana,0,1,0.0
