id,bowler,runs_conceded,balls,wickets,overs,economy,bowling_average,bowling_strike_rate
1,Abhishek Sharma,127,75,2,12.5,10.16,63.5,37.5
2,Adam Zampa,189,133,9,22.166666666666668,8.526315789473683,21.0,14.777777777777779
3,Adil Rashid,56,42,2,7.0,8.0,28.0,21.0
4,Aiden Markram,71,49,1,8.166666666666666,8.693877551020408,71.0,49.0
5,Akash Deep,63,33,1,5.5,11.454545454545455,63.0,33.0
6,Akash Madhwal,222,160,16,26.666666666666668,8.325,13.875,10.0
7,Akash Singh,188,117,5,19.5,9.64102564102564,37.6,23.4
8,Akeal Hosein,41,24,1,4.0,10.25,41.0,24.0
9,Alzarri Joseph,226,150,7,25.0,9.04,32.285714285714285,21.428571428571427
10,Amit Mishra,151,115,7,19.166666666666668,7.878260869565217,21.571428571428573,16.428571428571427
11,Andre Russell,173,99,7,16.5,10.484848484848484,24.714285714285715,14.142857142857142
12,Anrich Nortje,370,251,11,41.833333333333336,8.844621513944222,33.63636363636363,22.818181818181817
13,Anukul Roy,65,51,3,8.5,7.647058823529412,21.666666666666668,17.0
14,Arjun Tendulkar,95,68,4,11.333333333333334,8.382352941176471,23.75,17.0
15,Arshad Khan,192,97,5,16.166666666666668,11.876288659793813,38.4,19.4
16,Arshdeep Singh,497,324,18,54.0,9.203703703703704,27.61111111111111,18.0
17,Avesh Khan,287,176,8,29.333333333333332,9.78409090909091,35.875,22.0
18,Axar Patel,344,288,11,48.0,7.166666666666667,31.272727272727273,26.181818181818183
19,Ayush Badoni,0,1,0,0.16666666666666666,0.0,,inf
20,Ben S,18,6,0,1.0,18.0,inf,inf
21,Bhuvneshwar Kumar,432,319,19,53.166666666666664,8.12539184952978,22.736842105263158,16.789473684210527
22,Cameron Green,370,239,7,39.833333333333336,9.288702928870292,52.857142857142854,34.142857142857146
23,Chetan Sakariya,89,55,3,9.166666666666666,9.709090909090909,29.666666666666668,18.333333333333332
24,Chris Jordan,241,140,3,23.333333333333332,10.32857142857143,80.33333333333333,46.666666666666664
25,Darshan Nalkande,45,25,1,4.166666666666667,10.799999999999999,45.0,25.0
26,David Wiese,38,18,0,3.0,12.666666666666666,inf,inf
27,David Willey,106,94,4,15.666666666666666,6.765957446808511,26.5,23.5
28,Deepak Chahar,302,215,13,35.833333333333336,8.427906976744186,23.23076923076923,16.53846153846154
29,Deepak Hooda,8,6,0,1.0,8.0,inf,inf
30,Duan Jansen,53,28,1,4.666666666666667,11.357142857142856,53.0,28.0
31,Dwaine Pre,29,28,0,4.666666666666667,6.2142857142857135,inf,inf
32,Fazalhaq Farooqi,119,86,4,14.333333333333334,8.30232558139535,29.75,21.5
33,Glenn Maxwell,95,64,3,10.666666666666666,8.90625,31.666666666666668,21.333333333333332
34,Glenn Phillips,20,18,1,3.0,6.666666666666667,20.0,18.0
35,Gurnoor Brar,42,21,0,3.5,12.0,inf,inf
36,Hardik Pandya,241,156,4,26.0,9.26923076923077,60.25,39.0
37,Harpreet Brar,219,166,9,27.666666666666668,7.9156626506024095,24.333333333333332,18.444444444444443
38,Harshal Patel,468,302,15,50.333333333333336,9.298013245033113,31.2,20.133333333333333
39,Harshit Rana,153,108,6,18.0,8.5,25.5,18.0
40,Himanshu Sharma,33,18,0,3.0,11.0,inf,inf
41,Hrithik Shokeen,190,119,3,19.833333333333332,9.579831932773109,63.333333333333336,39.666666666666664
42,Ishant Sharma,210,157,10,26.166666666666668,8.025477707006369,21.0,15.7
43,Jason Behrendorff,395,262,17,43.666666666666664,9.045801526717558,23.235294117647058,15.411764705882353
44,Jason Holder,290,176,4,29.333333333333332,9.886363636363637,72.5,44.0
45,Jayant Yadav,26,24,0,4.0,6.5,inf,inf
46,Jaydev Unadkat,92,52,1,8.666666666666666,10.615384615384617,92.0,52.0
47,Joe Root,15,12,0,2.0,7.5,inf,inf
48,Jofra Archer,202,129,2,21.5,9.395348837209303,101.0,64.5
