match_no,inningno,over,ballnumber,batter_id,bowler_id,score,outcome,comment
1,1,0.1,1,54,138,0,0,"Mohammed Shami to Devon Conway, no run,"
1,1,0.2,2,54,138,1,1lb,"Mohammed Shami to Devon Conway, 1 leg bye,"
1,1,0.3,3,195,138,0,0,"Mohammed Shami to Ruturaj Gaikwad, no run,"
1,1,0.4,4,195,138,1,1,"Mohammed Shami to Ruturaj Gaikwad, 1 run,"
1,1,0.5,5,54,138,0,0,"Mohammed Shami to Devon Conway, no run,"
1,1,0.6,6,54,138,0,0,"Mohammed Shami to Devon Conway, no run,"
1,1,1.1,7,195,68,4,4,"Hardik Pandya to Ruturaj Gaikwad, Four,"
1,1,1.2,8,195,68,0,0,"Hardik Pandya to Ruturaj Gaikwad, no run,"
1,1,1.3,9,195,68,4,4,"Hardik Pandya to Ruturaj Gaikwad, Four,"
1,1,1.4,10,195,68,1,1,"Hardik Pandya to Ruturaj Gaikwad, 1 run,"
1,1,1.5,11,54,68,1,1,"Hardik Pandya to Devon Conway, 1 run,"
1,1,1.6,12,195,68,1,1,"Hardik Pandya to Ruturaj Gaikwad, 1 run,"
1,1,2.1,13,195,138,1,1,"Mohammed Shami to Ruturaj Gaikwad, 1 run,"
1,1,2.2,14,54,138,0,w,"Mohammed Shami to Devon Conway, no run,                           Wicket - b M Shami batsmen out 1(6)"
1,1,2.3,15,137,138,0,0,"Mohammed Shami to Moeen Ali, no run,"
1,1,2.4,16,137,138,0,0,"Mohammed Shami to Moeen Ali, no run,"
1,1,2.5,17,137,138,0,0,"Mohammed Shami to Moeen Ali, no run,"
1,1,2.6,18,137,138,0,0,"Mohammed Shami to Moeen Ali, no run,"
1,1,3.1,19,195,92,6,6,"Josh Little to Ruturaj Gaikwad, Six,"
1,1,3.2,20,195,92,4,4,"Josh Little to Ruturaj Gaikwad, Four,"
1,1,3.3,21,195,92,1,1,"Josh Little to Ruturaj Gaikwad, 1 run,"
1,1,3.4,22,137,92,0,0,"Josh Little to Moeen Ali, no run,"
1,1,3.5,23,137,92,4,4,"Josh Little to Moeen Ali, Four,"
1,1,3.6,24,137,92,0,0,"Josh Little to Moeen Ali, no run,"
1,1,4.1,25,195,138,0,0,"Mohammed Shami to Ruturaj Gaikwad, no run,"
1,1,4.2,26,195,138,1,1,"Mohammed Shami to Ruturaj Gaikwad, 1 run,"
1,1,4.3,27,137,138,4,4,"Mohammed Shami to Moeen Ali, Four,"
1,1,4.4,28,137,138,1,1nb,"Mohammed Shami to Moeen Ali, 1 no ball,"
1,1,4.4,29,137,138,6,6,"Mohammed Shami to Moeen Ali, Six,"
1,1,4.5,30,137,138,4,4,"Mohammed Shami to Moeen Ali, Four,"
1,1,4.6,31,137,138,1,1,"Mohammed Shami to Moeen Ali, 1 run,"
1,1,5.1,32,137,181,0,0,"Rashid Khan to Moeen Ali, no run,"
1,1,5.2,33,137,181,0,0,"Rashid Khan to Moeen Ali, no run,"
1,1,5.3,34,137,181,0,0,"Rashid Khan to Moeen Ali, no run,"
1,1,5.4,35,137,181,4,4,"Rashid Khan to Moeen Ali, Four,"
1,1,5.5,36,137,181,0,w,"Rashid Khan to Moeen Ali, no run,                           Wicket - c Wriddhiman Saha b Rashid Khan batsmen out 23(17)"
1,1,5.6,37,35,181,1,1,"Rashid Khan to Ben Stokes, 1 run,"
1,1,6.1,38,35,68,0,0,"Hardik Pandya to Ben Stokes, no run,"
