match_no,batter,runs,balls,strike_rate,batter_id
1,Ambati Rayudu,12,12,100.0,20
1,Ben S,7,6,116.66666666666667,35
1,Devon Conway,2,6,33.333333333333336,54
1,Hardik Pandya,8,11,72.72727272727273,68
1,MS Dhoni,14,7,200.0,120
1,Mitchell Santner,2,3,66.66666666666667,136
1,Moeen Ali,24,17,141.1764705882353,137
1,Rahul Tewatia,20,15,133.33333333333334,178
1,Rashid Khan,10,3,333.3333333333333,181
1,Ravindra Jadeja,1,2,50.0,184
1,Ruturaj Gaikwad,92,50,184.0,195
1,Sai Sudharsan,23,17,135.2941176470588,201
1,Shivam Dube,24,18,133.33333333333334,212
1,Shubman Gill,64,36,177.77777777777777,213
1,Vijay Shankar,29,23,126.08695652173913,235
1,Wriddhiman Saha,28,17,164.7058823529412,244
2,Andre Russell,36,19,189.47368421052633,22
2,Anukul Roy,4,5,80.0,26
2,Bhanuka Rajapaksa,51,32,159.375,36
2,Jitesh Sharma,21,11,190.9090909090909,87
2,Mandeep Singh,2,4,50.0,124
2,Nitish Rana,26,17,152.94117647058823,155
2,Prabhsimran Singh,23,12,191.66666666666666,163
2,Rahmanullah Gurbaz,22,16,137.5,176
2,Rinku Singh,4,4,100.0,188
2,Sam Curran,27,18,150.0,202
2,Shahrukh Khan,11,7,157.14285714285714,208
2,Shardul Thakur,8,3,266.6666666666667,209
2,Shikhar Dhawan,42,30,140.0,210
2,Sikandar Raza,16,13,123.07692307692308,214
2,Sunil Narine,7,2,350.0,216
2,Venkatesh Iyer,37,29,127.58620689655173,234
3,Aman Hakim Khan,4,5,80.0,19
3,Axar Patel,16,11,145.45454545454547,32
3,Ayush Badoni,20,9,222.22222222222223,33
3,Chetan Sakariya,4,4,100.0,41
3,David Warner,59,51,115.68627450980392,48
3,Deepak Hooda,17,18,94.44444444444444,52
3,KL Rahul,9,12,75.0,94
3,Krishnappa Gowtham,6,1,600.0,102
3,Krunal Pandya,18,14,128.57142857142858,103
3,Kuldeep Yadav,11,11,100.0,105
3,Kyle Mayers,73,38,192.10526315789474,109
3,Marcus S,12,10,120.0,127
3,Mitchell Marsh,0,1,0.0,135
3,Mukesh Kumar,0,1,0.0,143
3,Nicholas Pooran,38,23,165.2173913043478,153
3,Prithvi Shaw,13,10,130.0,166
3,Rilee Rossouw,30,20,150.0,186
3,Rovman Powell,1,3,33.333333333333336,194
3,Sarfaraz Khan,5,9,55.55555555555556,206
4,Abdul Samad,35,33,106.06060606060606,6
4,Abhishek Sharma,0,3,0.0,8
4,Adil Rashid,20,14,142.85714285714286,11
4,Bhuvneshwar Kumar,6,10,60.0,37
4,Devdutt Padikkal,1,3,33.333333333333336,53
4,Glenn Phillips,8,6,133.33333333333334,65
4,Harry Brook,13,21,61.904761904761905,71
4,Jos Buttler,41,18,227.77777777777777,90
4,Mayank Agarwal,28,24,116.66666666666667,131
4,Rahul Tripathi,0,2,0.0,179
4,Ravichandran Ashwin,5,2,250.0,183
4,Riyan Parag,8,6,133.33333333333334,191
4,Sanju Samson,47,27,174.07407407407408,204
4,Shimron Hetmyer,22,16,137.5,211
4,Umran Malik,20,8,250.0,229
4,Washing,1,5,20.0,242
4,Yashasvi Jaiswal,47,32,146.875,249
4,n Sundar,32,18,177.77777777777777,254
5,Arshad Khan,15,9,166.66666666666666,28
