match_no,bowler,runs_conceded,balls_bowled,overs,economy,bowler_id
1,Alzarri Joseph,33,24,4.0,8.25,18
1,Deepak Chahar,33,24,4.0,8.25,51
1,Hardik Pandya,32,18,3.0,10.666666666666666,68
1,Josh Little,42,24,4.0,10.5,92
1,Mitchell Santner,32,24,4.0,8.0,136
1,Mohammed Shami,30,25,4.2,7.142857142857142,138
1,Rajvardhan Hangargekar,36,28,4.7,7.659574468085106,180
1,Rashid Khan,27,24,4.0,6.75,181
1,Ravindra Jadeja,29,24,4.0,7.25,184
1,Tushar Deshpande,52,22,3.7,14.054054054054053,227
1,Yash Dayal,14,6,1.0,14.0,246
2,Arshdeep Singh,19,18,3.0,6.333333333333333,29
2,Harpreet Brar,8,6,1.0,8.0,69
2,Nathan Ellis,28,20,3.3,8.484848484848484,149
2,Rahul Chahar,12,12,2.0,6.0,177
2,Rishi Dhawan,15,6,1.0,15.0,190
2,Sam Curran,38,18,3.0,12.666666666666666,202
2,Shardul Thakur,43,25,4.2,10.238095238095237,209
2,Sikandar Raza,26,19,3.2,8.125,214
2,Sunil Narine,40,25,4.2,9.523809523809524,216
2,Tim Southee,54,24,4.0,13.5,224
2,Umesh Yadav,27,24,4.0,6.75,228
2,Varun Chakravarthy,27,25,4.2,6.428571428571428,233
3,Avesh Khan,29,24,4.0,7.25,31
3,Axar Patel,38,24,4.0,9.5,32
3,Chetan Sakariya,53,27,4.5,11.777777777777779,41
3,Jaydev Unadkat,39,20,3.3,11.818181818181818,86
3,Khaleel Ahmed,31,25,4.2,7.3809523809523805,101
3,Krishnappa Gowtham,23,25,4.2,5.476190476190476,102
3,Kuldeep Yadav,37,24,4.0,9.25,105
3,Kyle Mayers,7,7,1.2,5.833333333333334,109
3,Mark Wood,14,26,4.3,3.255813953488372,128
3,Mukesh Kumar,34,25,4.2,8.095238095238095,143
3,Ravi Bishnoi,31,24,4.0,7.75,182
4,Adil Rashid,33,24,4.0,8.25,11
4,Bhuvneshwar Kumar,36,19,3.2,11.25,37
4,Fazalhaq Farooqi,42,24,4.0,10.5,61
4,Jason Holder,16,18,3.0,5.333333333333333,83
4,KM Asif,15,19,3.2,4.6875,95
4,Navdeep Saini,35,15,2.5,14.0,150
4,Ravichandran Ashwin,27,26,4.3,6.279069767441861,183
4,T Natarajan,27,18,3.0,9.0,221
4,Trent Boult,21,24,4.0,5.25,225
4,Umran Malik,33,19,3.2,10.3125,229
4,Washing,32,18,3.0,10.666666666666666,242
4,Yuzvendra Chahal,17,24,4.0,4.25,251
5,Akash Deep,29,18,3.0,9.666666666666666,14
5,Arshad Khan,29,18,3.0,9.666666666666666,28
5,Cameron Green,30,12,2.0,15.0,40
5,Glenn Maxwell,16,7,1.2,13.333333333333334,64
5,Harshal Patel,43,26,4.3,10.0,72
5,Hrithik Shokeen,17,6,1.0,17.0,76
5,Jason Behrendorff,37,18,3.0,12.333333333333334,82
5,Jofra Archer,33,24,4.0,8.25,89
5,Karn Sharma,32,25,4.2,7.619047619047619,98
