id,over,total_runs,total_wickets,total_balls,run_rate
1,0.1,128,3,157,4.89171974522293
2,0.2,131,7,157,5.006369426751592
3,0.3,181,9,154,7.0519480519480515
4,0.4,167,6,152,6.592105263157895
5,0.5,141,5,152,5.565789473684211
6,0.6,148,2,150,5.92
7,1.1,195,4,164,7.134146341463415
8,1.2,213,6,157,8.140127388535031
9,1.3,180,4,155,6.967741935483871
10,1.4,239,8,153,9.372549019607844
11,1.5,220,4,153,8.627450980392156
12,1.6,245,8,152,9.671052631578949
13,2.1,213,7,150,8.52
14,2.2,180,11,150,7.2
15,2.3,253,7,156,9.73076923076923
16,2.4,240,1,154,9.35064935064935
17,2.5,240,8,149,9.664429530201343
18,2.6,208,2,154,8.103896103896103
19,3.1,271,2,150,10.84
20,3.2,212,9,154,8.259740259740258
21,3.3,197,6,150,7.88
22,3.4,195,7,154,7.597402597402597
23,3.5,246,5,149,9.906040268456376
24,3.6,246,4,158,9.341772151898734
25,4.1,200,10,154,7.792207792207792
26,4.2,244,8,152,9.631578947368421
27,4.3,249,5,150,9.96
28,4.4,255,11,155,9.870967741935484
29,4.5,205,3,151,8.14569536423841
30,4.6,280,7,152,11.052631578947368
31,5.1,214,4,148,8.675675675675675
32,5.2,233,3,154,9.077922077922077
33,5.3,236,7,151,9.37748344370861
34,5.4,255,6,150,10.2
35,5.5,189,8,150,7.56
36,5.6,238,6,149,9.583892617449665
37,6.1,181,7,150,7.24
38,6.2,155,2,150,6.2
39,6.3,201,5,151,7.986754966887417
40,6.4,177,6,151,7.033112582781457
41,6.5,195,4,148,7.905405405405405
42,6.6,160,8,150,6.4
43,7.1,173,4,149,6.966442953020135
44,7.2,200,8,150,8.0
45,7.3,194,4,151,7.708609271523178
46,7.4,183,4,149,7.369127516778524
47,7.5,194,1,151,7.708609271523178
48,7.6,201,7,148,8.14864864864865
49,8.1,233,3,151,9.258278145695364
50,8.2,188,12,148,7.621621621621621
51,8.3,211,8,153,8.27450980392157
52,8.4,202,2,154,7.87012987012987
53,8.5,182,6,151,7.231788079470198
54,8.6,221,6,151,8.781456953642383
55,9.1,165,4,152,6.5131578947368425
56,9.2,230,8,152,9.078947368421053
57,9.3,232,6,153,9.098039215686274
58,9.4,224,10,154,8.727272727272727
59,9.5,185,8,151,7.3509933774834435
60,9.6,189,3,150,7.56
61,10.1,203,8,152,8.013157894736842
62,10.2,203,7,151,8.066225165562914
63,10.3,195,9,152,7.697368421052632
64,10.4,183,12,151,7.271523178807946
65,10.5,204,4,152,8.052631578947368
66,10.6,180,8,148,7.297297297297297
67,11.1,222,6,150,8.88
68,11.2,202,10,152,7.973684210526316
69,11.3,203,12,152,8.013157894736842
70,11.4,198,6,154,7.7142857142857135
71,11.5,178,2,150,7.12
72,11.6,211,2,150,8.44
73,12.1,242,7,150,9.68
74,12.2,243,8,149,9.78523489932886
75,12.3,235,8,154,9.155844155844155
76,12.4,201,4,150,8.04
77,12.5,203,11,152,8.013157894736842
78,12.6,207,5,150,8.28
79,13.1,228,6,152,9.0
80,13.2,247,6,149,9.946308724832216
81,13.3,203,7,150,8.12
82,13.4,268,5,151,10.649006622516556
83,13.5,179,10,147,7.3061224489795915
84,13.6,200,9,150,8.0
85,14.1,194,13,150,7.76
86,14.2,234,8,149,9.422818791946309
87,14.3,227,13,148,9.202702702702702
88,14.4,253,5,151,10.052980132450331
89,14.5,249,13,150,9.96
90,14.6,214,10,151,8.503311258278146
91,15.1,207,4,154,8.064935064935064
92,15.2,226,7,154,8.805194805194805
93,15.3,220,12,150,8.8
94,15.4,207,9,150,8.28
95,15.5,227,8,155,8.787096774193548
96,15.6,242,8,152,9.552631578947368
97,16.1,252,12,147,10.285714285714286
98,16.2,248,7,152,9.789473684210527
99,16.3,227,12,149,9.140939597315437
100,16.4,227,5,147,9.26530612244898
101,16.5,237,12,146,9.73972602739726
102,16.6,238,7,148,9.648648648648647
103,17.1,225,8,141,9.574468085106384
104,17.2,269,8,149,10.832214765100671
105,17.3,195,15,143,8.181818181818182
106,17.4,220,13,143,9.230769230769232
107,17.5,224,13,140,9.6
108,17.6,237,8,142,10.014084507042252
109,18.1,256,7,142,10.816901408450704
110,18.2,247,10,134,11.059701492537314
111,18.3,212,15,137,9.284671532846716
112,18.4,268,10,134,12.0
113,18.5,228,12,131,10.442748091603054
114,18.6,219,13,131,10.03053435114504
115,19.1,255,9,137,11.167883211678832
116,19.2,244,13,132,11.090909090909092
117,19.3,236,14,125,11.328000000000001
118,19.4,210,24,124,10.161290322580644
119,19.5,206,18,122,10.131147540983607
120,19.6,203,18,117,10.41025641025641
