id,match_number,man_of_match,winner,season
1,1,Rashid Khan,Gujarat Titans,2023
2,2,Arshdeep Singh,Punjab Kings,2023
3,3,MA Wood,Lucknow Super Giants,2023
4,4,JC Buttler,Rajasthan Royals,2023
5,5,F du Plessis,Royal Challengers Bangalore,2023
6,6,MM Ali,Chennai Super Kings,2023
7,7,B Sai Sudharsan,Gujarat Titans,2023
8,8,NT Ellis,Punjab Kings,2023
9,9,SN Thakur,Kolkata Knight Riders,2023
10,10,KH Pandya,Lucknow Super Giants,2023
11,11,YBK Jaiswal,Rajasthan Royals,2023
12,12,RA Jadeja,Chennai Super Kings,2023
13,13,RK Singh,Kolkata Knight Riders,2023
14,14,S Dhawan,Sunrisers Hyderabad,2023
15,15,N Pooran,Lucknow Super Giants,2023
16,16,RG Sharma,Mumbai Indians,2023
17,17,R Ashwin,Rajasthan Royals,2023
18,18,MM Sharma,Gujarat Titans,2023
19,19,HC Brook,Sunrisers Hyderabad,2023
20,20,V Kohli,Royal Challengers Bangalore,2023
21,21,Sikandar Raza,Punjab Kings,2023
22,22,VR Iyer,Mumbai Indians,2023
23,23,SO Hetmyer,Rajasthan Royals,2023
24,24,DP Conway,Chennai Super Kings,2023
25,25,C Green,Mumbai Indians,2023
26,26,MP Stoinis,Lucknow Super Giants,2023
27,27,Mohammed Siraj,Royal Challengers Bangalore,2023
28,28,I Sharma,Delhi Capitals,2023
29,29,RA Jadeja,Chennai Super Kings,2023
30,30,MM Sharma,Gujarat Titans,2023
31,31,SM Curran,Punjab Kings,2023
32,32,GJ Maxwell,Royal Challengers Bangalore,2023
33,33,AM Rahane,Chennai Super Kings,2023
34,34,AR Patel,Delhi Capitals,2023
35,35,A Manohar,Gujarat Titans,2023
36,36,CV Varun,Kolkata Knight Riders,2023
37,37,YBK Jaiswal,Rajasthan Royals,2023
38,38,MP Stoinis,Lucknow Super Giants,2023
39,39,J Little,Gujarat Titans,2023
40,40,MR Marsh,Sunrisers Hyderabad,2023
41,41,DP Conway,Punjab Kings,2023
42,42,YBK Jaiswal,Mumbai Indians,2023
43,43,F du Plessis,Royal Challengers Bangalore,2023
44,44,Mohammed Shami,Delhi Capitals,2023
45,45,,No Result,2023
46,46,Ishan Kishan,Mumbai Indians,2023
47,47,CV Varun,Kolkata Knight Riders,2023
48,48,Rashid Khan,Gujarat Titans,2023
49,49,M Pathirana,Chennai Super Kings,2023
50,50,PD Salt,Delhi Capitals,2023
51,51,Shubman Gill,Gujarat Titans,2023
52,52,GD Phillips,Sunrisers Hyderabad,2023
53,53,AD Russell,Kolkata Knight Riders,2023
54,54,SA Yadav,Mumbai Indians,2023
55,55,RA Jadeja,Chennai Super Kings,2023
56,56,YBK Jaiswal,Rajasthan Royals,2023
57,57,SA Yadav,Mumbai Indians,2023
58,58,PN Mankad,Lucknow Super Giants,2023
59,59,P Simran Singh,Punjab Kings,2023
60,60,WD Parnell,Royal Challengers Bangalore,2023
61,61,RK Singh,Kolkata Knight Riders,2023
62,62,Shubman Gill,Gujarat Titans,2023
63,63,MP Stoinis,Lucknow Super Giants,2023
64,64,RR Rossouw,Delhi Capitals,2023
65,65,V Kohli,Royal Challengers Bangalore,2023
66,66,D Padikkal,Rajasthan Royals,2023
67,67,RD Gaikwad,Chennai Super Kings,2023
68,68,N Pooran,Lucknow Super Giants,2023
69,69,C Green,Mumbai Indians,2023
70,70,Shubman Gill,Gujarat Titans,2023
71,71,RD Gaikwad,Chennai Super Kings,2023
72,72,Akash Madhwal,Mumbai Indians,2023
73,73,Shubman Gill,Gujarat Titans,2023
74,74,DP Conway,Chennai Super Kings,2023
