id,venue,location,total_matches
1,Arun Jaitley Stadium,Delhi,7
2,Barsapara Cricket Stadium,Guwahati,2
3,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,7
4,Eden Gardens,Kolkata,7
5,Himachal Pradesh Cricket Association Stadium,Dharamsala,2
6,M Chinnaswamy Stadium,Bengaluru,7
7,MA Chidambaram Stadium,Chennai,9
8,Narendra Modi Stadium,Ahmedabad,9
9,Punjab Cricket Association IS Bindra Stadium,Chandigarh,5
10,Rajiv Gandhi International Stadium,Hyderabad,7
11,Sawai Mansingh Stadium,Jaipur,5
12,Wankhede Stadium,Mumbai,7
