season,date,match_number,match_type,venue,location,team1,team2,toss_won,toss_decision,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,man_of_match
2023,2023-03-31,1,Group,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Nitin Menon,HAS Khalid,A Bengeri,J Srinath,Gujarat Titans,0,5,Rashid Khan
2023,2023-04-01,2,Group,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,BNJ Oxenford,YC Barde,PM Joshi,M Nayyar,Punjab Kings,7,0,Arshdeep Singh
2023,2023-04-01,3,Group,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,AK Chaudhary,NA Patwardhan,M Kuppuraj,DS Manohar,Lucknow Super Giants,50,0,MA Wood
2023,2023-04-02,4,Group,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,KN Ananthapadmanabhan,R Pandit,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,72,0,JC Buttler
2023,2023-04-02,5,Group,M Chinnaswamy Stadium,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Nitin Menon,Tapan Sharma,A Bengeri,J Srinath,Royal Challengers Bangalore,0,8,F du Plessis
2023,2023-04-03,6,Group,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,A Totre,BNJ Oxenford,PM Joshi,M Nayyar,Chennai Super Kings,12,0,MM Ali
2023,2023-04-04,7,Group,Arun Jaitley Stadium,Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,A Nand Kishore,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Gujarat Titans,0,6,B Sai Sudharsan
2023,2023-04-05,8,Group,Barsapara Cricket Stadium,Guwahati,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,KN Ananthapadmanabhan,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Punjab Kings,5,0,NT Ellis
2023,2023-04-06,9,Group,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Vinod Seshan,VK Sharma,A Bengeri,Shakti Singh,Kolkata Knight Riders,81,0,SN Thakur
2023,2023-04-07,10,Group,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,J Madanagopal,YC Barde,PM Joshi,M Nayyar,Lucknow Super Giants,0,5,KH Pandya
2023,2023-04-08,11,Group,Barsapara Cricket Stadium,Guwahati,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Navdeep Singh,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,57,0,YBK Jaiswal
2023,2023-04-08,12,Group,Wankhede Stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,CB Gaffaney,NA Patwardhan,M Kuppuraj,DS Manohar,Chennai Super Kings,0,7,RA Jadeja
2023,2023-04-09,13,Group,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Nitin Menon,Tapan Sharma,A Bengeri,J Srinath,Kolkata Knight Riders,0,3,RK Singh
2023,2023-04-09,14,Group,Rajiv Gandhi International Stadium,Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,BNJ Oxenford,UV Gandhe,PM Joshi,M Nayyar,Sunrisers Hyderabad,0,8,S Dhawan
2023,2023-04-10,15,Group,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,AK Chaudhary,A Nand Kishore,M Kuppuraj,DS Manohar,Lucknow Super Giants,0,1,N Pooran
2023,2023-04-11,16,Group,Arun Jaitley Stadium,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,MA Gough,R Pandit,Abhijit Bhattacharya,V Narayan Kutty,Mumbai Indians,0,6,RG Sharma
2023,2023-04-12,17,Group,MA Chidambaram Stadium,Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Vinod Seshan,VK Sharma,A Bengeri,J Srinath,Rajasthan Royals,3,0,R Ashwin
2023,2023-04-13,18,Group,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Gujarat Titans,Gujarat Titans,field,A Totre,J Madanagopal,PM Joshi,R Seth,Gujarat Titans,0,6,MM Sharma
2023,2023-04-14,19,Group,Eden Gardens,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,CB Gaffaney,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Sunrisers Hyderabad,23,0,HC Brook
2023,2023-04-15,20,Group,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,KN Ananthapadmanabhan,MV Saidharshan Kumar,Abhijit Bhattacharya,Amit Sharma,Royal Challengers Bangalore,23,0,V Kohli
